n_noise_features,repetition,Ours,KNN,LOF,IForest,OCSVM,AutoEncoder
12,6,0.9419047619047619,0.8676190476190475,0.8771428571428571,0.8295238095238096,0.8238095238095238,0.7257142857142858
12,7,0.949047619047619,0.8457142857142856,0.8628571428571428,0.8038095238095238,0.7761904761904762,0.5952380952380951
12,8,0.9114285714285714,0.8714285714285714,0.8914285714285713,0.8228571428571428,0.84,0.7552380952380953
12,9,0.9523809523809523,0.8961904761904762,0.9047619047619048,0.8180952380952381,0.8552380952380952,0.758095238095238
16,0,0.9223809523809524,0.9,0.9123809523809523,0.8657142857142857,0.8638095238095238,0.820952380952381
16,1,0.9104761904761905,0.8638095238095238,0.8800000000000001,0.8352380952380953,0.8180952380952381,0.7333333333333333
16,2,0.9328571428571428,0.8647619047619047,0.8933333333333333,0.8076190476190476,0.8352380952380952,0.7085714285714286
16,3,0.9328571428571428,0.7809523809523808,0.8457142857142856,0.6961904761904761,0.7085714285714286,0.5123809523809524
16,4,0.9580952380952381,0.8738095238095237,0.8847619047619047,0.7971428571428572,0.8209523809523809,0.7247619047619047
16,5,0.9714285714285714,0.8504761904761904,0.88,0.8019047619047619,0.8180952380952381,0.6228571428571428
16,6,0.9447619047619048,0.8866666666666666,0.9038095238095237,0.8066666666666666,0.8514285714285714,0.7152380952380952
16,7,0.9238095238095239,0.8485714285714285,0.8761904761904762,0.7895238095238095,0.8190476190476191,0.6980952380952381
16,8,0.9080952380952382,0.8685714285714285,0.8876190476190476,0.7885714285714285,0.8533333333333333,0.6238095238095238
16,9,0.9047619047619048,0.8228571428571428,0.8638095238095238,0.7609523809523808,0.7523809523809524,0.5828571428571427
20,0,0.939047619047619,0.8942857142857142,0.9028571428571428,0.8314285714285714,0.878095238095238,0.76
20,1,0.958095238095238,0.8161904761904762,0.8638095238095238,0.7323809523809524,0.7609523809523809,0.5904761904761904
20,2,0.9114285714285714,0.8476190476190476,0.8647619047619047,0.6704761904761904,0.7828571428571429,0.6828571428571428
