n_noise_features,repetition,Ours,KNN,LOF,IForest,OCSVM,AutoEncoder
56,6,0.6030717204452585,0.4496266027899112,0.44046780329716784,0.45610821473862195,0.4825982809637875,0.44342680005636187
56,7,0.583767789206707,0.5222629279977455,0.5072565872904045,0.5302240383260532,0.5395237424263774,0.47907566577427085
56,8,0.5716499929547697,0.5577004368042835,0.5495279695646047,0.49767507397491895,0.5760180357897704,0.4918979850641116
56,9,0.6011695082429196,0.42003663519797096,0.4321544314499084,0.4952796956460476,0.4675214879526561,0.4459630829928139
60,0,0.5831337184725941,0.506552064252501,0.4855572777229815,0.4971114555445963,0.5100746794420178,0.4701986754966887
60,1,0.5702409468789629,0.4723826969141891,0.48386642243201355,0.5137381992391151,0.5319148936170213,0.4651261096237847
60,2,0.6319571649992954,0.5172608144286318,0.5172608144286318,0.492602508102015,0.5520642525010567,0.4957024094687897
60,3,0.5,0.46413977737072,0.45737635620684797,0.46808510638297873,0.496829646329435,0.44399041848668447
60,4,0.6436522474284909,0.39178526137804703,0.3880512892771594,0.41933211216006766,0.43299985909539246,0.41792306608426094
60,5,0.5726363252078343,0.4837959701282233,0.46188530364942937,0.4732985768634635,0.5219106664787939,0.4318726222347471
60,6,0.57806115259969,0.44532901225870086,0.45512188248555724,0.49274341270959554,0.4818937579258841,0.4434268000563619
60,7,0.5957446808510638,0.4757644074961251,0.45948992532055805,0.45850359306749333,0.495138791038467,0.4445540369170072
60,8,0.610116950824292,0.4475130336762012,0.46089897139636465,0.4878117514442722,0.5121882485557278,0.46766239256023673
60,9,0.5,0.5109201070875018,0.4931661265323376,0.5073974918979851,0.540932788502184,0.47555305058475417
64,0,0.6282936452021981,0.5145836268845991,0.5096519656192757,0.5158517683528252,0.54854163731154,0.47724390587572213
64,1,0.5876426659151754,0.5290263491616175,0.5131745808087924,0.5403691700718614,0.5474144004508947,0.504438495138791
64,2,0.6289277159363112,0.47879385655910944,0.48414823164717485,0.43891785261378047,0.5188107651120191,0.44229956319571645
